,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
118,Entire home/apt,Boston,Downtown,7,4.5,5,2.0,182.0,42.352114,-71.063475,0101000020E6100000454772F90FC451C05C3B5112122D4540
119,Entire home/apt,Boston,Mattapan,0,0.0,2,1.0,150.0,42.273656,-71.077348,0101000020E61000004E9A0645F3C451C0562DE92807234540
120,Entire home/apt,Boston,Brighton,86,4.5,5,2.0,145.0,42.34502,-71.168142,0101000020E610000061C5A9D6C2CA51C0A33B889D292C4540
121,Entire home/apt,Boston,Mission Hill,1,0.0,4,2.0,160.0,42.328496,-71.109033,0101000020E6100000D34B8C65FAC651C0F46E2C280C2A4540
122,Entire home/apt,Boston,Roslindale,9,5.0,3,0.0,145.0,42.283891,-71.131408,0101000020E6100000B29B19FD68C851C07A50508A56244540
123,Entire home/apt,Boston,Beacon Hill,0,0.0,3,0.0,169.0,42.359741,-71.07034499999999,0101000020E6100000FA9B508880C451C0E2033BFE0B2E4540
124,Entire home/apt,Boston,Brighton,15,5.0,4,2.0,175.0,42.339996,-71.153516,0101000020E61000006ADAC534D3C951C0AA622AFD842B4540
125,Entire home/apt,Boston,South End,0,0.0,2,0.0,140.0,42.339762,-71.080276,0101000020E6100000D6A9F23D23C551C037363B527D2B4540
126,Entire home/apt,Boston,South End,10,5.0,2,1.0,179.0,42.337163000000004,-71.07516,0101000020E6100000E97DE36BCFC451C0EB353D28282B4540
127,Entire home/apt,Boston,South Boston Waterfront,4,5.0,4,1.0,149.0,42.347727,-71.038108,0101000020E6100000D26D895C70C251C0D5777E51822C4540
128,Entire home/apt,Boston,Mattapan,33,5.0,5,2.0,150.0,42.273669,-71.07709399999999,0101000020E6100000F12DAC1BEFC451C0EA76F69507234540
129,Entire home/apt,Boston,Roxbury,2,0.0,3,1.0,139.0,42.324579,-71.089639,0101000020E61000008E5C37A5BCC551C0F4FBFECD8B294540
130,Entire home/apt,Boston,Mission Hill,1,0.0,3,1.0,134.0,42.334973,-71.09995699999999,0101000020E610000067800BB265C651C081053065E02A4540
131,Entire home/apt,Boston,South End,23,4.5,2,1.0,135.0,42.34122,-71.07533000000001,0101000020E6100000179AEB34D2C451C0DD5ED218AD2B4540
132,Entire home/apt,Boston,Fenway,21,4.0,2,0.0,125.0,42.350479,-71.093757,0101000020E610000059315C1D00C651C0A777F17EDC2C4540
133,Entire home/apt,Boston,South End,39,4.0,2,0.0,134.0,42.340795,-71.080704,0101000020E6100000022A1C412AC551C0F6D1A92B9F2B4540
134,Entire home/apt,Boston,Fenway,2,0.0,4,1.0,130.0,42.349903000000005,-71.094376,0101000020E6100000BF61A2410AC651C0DAE21A9FC92C4540
135,Entire home/apt,Boston,South End,69,5.0,4,1.0,139.0,42.339143,-71.07979,0101000020E6100000102384471BC551C06BD5AE09692B4540
136,Entire home/apt,Boston,Downtown,1,0.0,2,0.0,133.0,42.355656,-71.061651,0101000020E610000001310917F2C351C02750C422862D4540
137,Entire home/apt,Boston,Brighton,80,4.5,6,3.0,121.0,42.340571000000004,-71.15130500000001,0101000020E610000029AE2AFBAEC951C0A67B9DD4972B4540
138,Entire home/apt,Boston,Beacon Hill,1,0.0,2,1.0,130.0,42.359640999999996,-71.06552099999999,0101000020E6100000E10CFE7E31C451C07FA65EB7082E4540
139,Entire home/apt,Boston,East Boston,382,4.5,2,1.0,114.0,42.366884999999996,-71.036151,0101000020E6100000EFAD484C50C251C04D327216F62E4540
140,Entire home/apt,Boston,Allston,9,5.0,4,1.0,99.0,42.364536,-71.11838,0101000020E61000000820B58993C751C07A1B9B1DA92E4540
141,Entire home/apt,Boston,Beacon Hill,10,4.5,2,0.0,98.0,42.359154,-71.066616,0101000020E6100000FB58C16F43C451C0211D1EC2F82D4540
142,Entire home/apt,Boston,Back Bay,0,0.0,2,0.0,70.0,42.345003000000005,-71.080106,0101000020E6100000A88DEA7420C551C0CD02ED0E292C4540
143,Entire home/apt,Boston,Back Bay,25,4.0,3,1.0,72.0,42.34964,-71.088342,0101000020E61000003F373465A7C551C0CDAFE600C12C4540
144,Entire home/apt,Boston,Allston,1,0.0,2,0.0,71.0,42.362407,-71.128747,0101000020E6100000529D0E643DC851C0B56B425A632E4540
145,Entire home/apt,Boston,Allston,0,0.0,4,1.0,79.0,42.3491,-71.130987,0101000020E6100000E04C4C1762C851C04D840D4FAF2C4540
146,Entire home/apt,Boston,Beacon Hill,4,4.0,4,2.0,78.0,42.361025,-71.067008,0101000020E61000008124ECDB49C451C0EA043411362E4540
147,Entire home/apt,Boston,Allston,0,0.0,2,1.0,70.0,42.351226000000004,-71.12778399999999,0101000020E6100000EF3CF19C2DC851C0A0C03BF9F42C4540
148,Entire home/apt,Boston,West Roxbury,48,5.0,5,2.0,69.0,42.260901000000004,-71.157742,0101000020E610000029CDE67118CA51C0313F373465214540
149,Entire home/apt,Boston,West Roxbury,2,0.0,2,0.0,55.0,42.274425,-71.149689,0101000020E61000008AE42B8194C951C0371AC05B20234540
